dataset,matcher,precision,recall,f1-measure
101-101,core_platform,1.0,1.0,1.0
101-103,core_platform,1.0,1.0,1.0
101-104,core_platform,1.0,1.0,1.0
101-201,core_platform,1.0,0.010309278350515464,0.020408163265306124
101-201-2,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-201-4,core_platform,1.0,0.5979381443298969,0.7483870967741935
101-201-6,core_platform,1.0,0.41237113402061853,0.5839416058394161
101-201-8,core_platform,1.0,0.21649484536082475,0.3559322033898305
101-202,core_platform,1.0,0.010309278350515464,0.020408163265306124
101-202-2,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-202-4,core_platform,1.0,0.5979381443298969,0.7483870967741935
101-202-6,core_platform,1.0,0.41237113402061853,0.5839416058394161
101-202-8,core_platform,1.0,0.21649484536082475,0.3559322033898305
101-203,core_platform,1.0,1.0,1.0
101-204,core_platform,1.0,0.8350515463917526,0.9101123595505618
101-205,core_platform,1.0,0.25773195876288657,0.40983606557377045
101-206,core_platform,1.0,0.1958762886597938,0.3275862068965517
101-207,core_platform,1.0,0.1958762886597938,0.3275862068965517
101-208,core_platform,1.0,0.8350515463917526,0.9101123595505618
101-209,core_platform,1.0,0.25773195876288657,0.40983606557377045
101-210,core_platform,1.0,0.1958762886597938,0.3275862068965517
101-221,core_platform,1.0,1.0,1.0
101-222,core_platform,1.0,1.0,1.0
101-223,core_platform,1.0,1.0,1.0
101-224,core_platform,1.0,1.0,1.0
101-225,core_platform,1.0,1.0,1.0
101-228,core_platform,1.0,1.0,1.0
101-230,core_platform,1.0,1.0,1.0
101-231,core_platform,1.0,1.0,1.0
101-232,core_platform,1.0,1.0,1.0
101-233,core_platform,1.0,1.0,1.0
101-236,core_platform,1.0,1.0,1.0
101-237,core_platform,1.0,1.0,1.0
101-238,core_platform,1.0,1.0,1.0
101-239,core_platform,0.9666666666666667,1.0,0.983050847457627
101-240,core_platform,0.9705882352941176,1.0,0.9850746268656716
101-241,core_platform,1.0,1.0,1.0
101-246,core_platform,0.9666666666666667,1.0,0.983050847457627
101-247,core_platform,0.9705882352941176,1.0,0.9850746268656716
101-248,core_platform,1.0,0.010309278350515464,0.020408163265306124
101-248-2,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-248-4,core_platform,1.0,0.5979381443298969,0.7483870967741935
101-248-6,core_platform,1.0,0.41237113402061853,0.5839416058394161
101-248-8,core_platform,1.0,0.21649484536082475,0.3559322033898305
101-249,core_platform,1.0,0.010309278350515464,0.020408163265306124
101-249-2,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-249-4,core_platform,1.0,0.5979381443298969,0.7483870967741935
101-249-6,core_platform,1.0,0.41237113402061853,0.5839416058394161
101-249-8,core_platform,1.0,0.21649484536082475,0.3559322033898305
101-250,core_platform,0.0,0.0,0.0
101-250-2,core_platform,1.0,0.7878787878787878,0.8813559322033898
101-250-4,core_platform,1.0,0.6060606060606061,0.7547169811320755
101-250-6,core_platform,1.0,0.42424242424242425,0.5957446808510638
101-250-8,core_platform,1.0,0.21212121212121213,0.35
101-251,core_platform,1.0,0.010752688172043012,0.021276595744680854
101-251-2,core_platform,1.0,0.7956989247311828,0.8862275449101796
101-251-4,core_platform,1.0,0.6021505376344086,0.7516778523489933
101-251-6,core_platform,1.0,0.40860215053763443,0.5801526717557252
101-251-8,core_platform,1.0,0.22580645161290322,0.3684210526315789
101-252,core_platform,0.5,0.010309278350515464,0.020202020202020204
101-252-2,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-252-4,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-252-6,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-252-8,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-253,core_platform,1.0,0.010309278350515464,0.020408163265306124
101-253-2,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-253-4,core_platform,1.0,0.5979381443298969,0.7483870967741935
101-253-6,core_platform,1.0,0.41237113402061853,0.5839416058394161
101-253-8,core_platform,1.0,0.21649484536082475,0.3559322033898305
101-254,core_platform,0.0,0.0,0.0
101-254-2,core_platform,1.0,0.7878787878787878,0.8813559322033898
101-254-4,core_platform,1.0,0.6060606060606061,0.7547169811320755
101-254-6,core_platform,1.0,0.42424242424242425,0.5957446808510638
101-254-8,core_platform,1.0,0.21212121212121213,0.35
101-257,core_platform,0.0,0.0,0.0
101-257-2,core_platform,1.0,0.7878787878787878,0.8813559322033898
101-257-4,core_platform,1.0,0.6060606060606061,0.7547169811320755
101-257-6,core_platform,1.0,0.42424242424242425,0.5957446808510638
101-257-8,core_platform,1.0,0.21212121212121213,0.35
101-258,core_platform,1.0,0.010752688172043012,0.021276595744680854
101-258-2,core_platform,1.0,0.7956989247311828,0.8862275449101796
101-258-4,core_platform,1.0,0.6021505376344086,0.7516778523489933
101-258-6,core_platform,1.0,0.40860215053763443,0.5801526717557252
101-258-8,core_platform,1.0,0.22580645161290322,0.3684210526315789
101-259,core_platform,0.5,0.010309278350515464,0.020202020202020204
101-259-2,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-259-4,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-259-6,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-259-8,core_platform,1.0,0.7938144329896907,0.8850574712643678
101-260,core_platform,0.0,0.0,0.0
101-260-2,core_platform,0.9583333333333334,0.7931034482758621,0.8679245283018867
101-260-4,core_platform,0.9473684210526315,0.6206896551724138,0.75
101-260-6,core_platform,0.9230769230769231,0.41379310344827586,0.5714285714285715
101-260-8,core_platform,0.875,0.2413793103448276,0.3783783783783784
101-261,core_platform,0.0,0.0,0.0
101-261-2,core_platform,0.9629629629629629,0.7878787878787878,0.8666666666666665
101-261-4,core_platform,0.9629629629629629,0.7878787878787878,0.8666666666666665
101-261-6,core_platform,0.9629629629629629,0.7878787878787878,0.8666666666666665
101-261-8,core_platform,0.9629629629629629,0.7878787878787878,0.8666666666666665
101-262,core_platform,0.0,0.0,0.0
101-262-2,core_platform,1.0,0.7878787878787878,0.8813559322033898
101-262-4,core_platform,1.0,0.6060606060606061,0.7547169811320755
101-262-6,core_platform,1.0,0.42424242424242425,0.5957446808510638
101-262-8,core_platform,1.0,0.21212121212121213,0.35
101-265,core_platform,0.0,0.0,0.0
101-266,core_platform,0.0,0.0,0.0
